StudentIDE,MA1E,MA2E,MA3E,MA4E,MA5E,MA6E,MA7E,MA8E,QANX1E,QANX2E,QANX3E,QANX4E,QINFL1E,QINFL2E,QINFL3E,QINFL4E,QINFL5E,QINFL6E,QINFL7E,QSF1E,QSF2E,QSF3E,QSF4E,QHIND1E,QHIND2E,QHIND3E,QHIND4E,QHIND5E,QSC1E,QSC2E,QSC3E,QSC4E,QSE1E,QSE2E,QSE3E,QSE4E,QSE5E,QSE6E,SPSS1E,SPSS2E,SPSS3E,SPSS4E,SPSS5E,SPSS6E,SPSS7E,SPSS8E,SPSS9E,SPSS10E,Mean_MA,Mean_QANX,Mean_QINFL,Mean_QSF,Mean_QHIND,Mean_QSC,Mean_QSE,Mean_SPSS,GenderE,RaceEthE,RaceEthE_tidy,GradeE,GradeE_tidy,StuStaE,GPAE,MajorE,MajorE_tidy,AgeE
1,5,1,5,5,3,3,3,3,3,1,1,1,1,4,4,4,4,4,4,5,5,5,5,1,2,4,4,4,4,1,1,4,4,5,4,3,4,3,4,2,2,3,3,3,4,4,4,2,3.5,1.5,3.571428571,5,3,4.5,3.833333333,3.7,1,1,Black/African American,1,A,4,2,4,Double Major,24
2,5,2,2,5,4,2,2,4,2,2,2,2,3,2,2,3,3,NA,3,5,5,4,4,3,5,4,4,4,4,2,2,4,3,3,4,4,4,4,4,1,1,4,4,4,4,4,4,1,4,2,2.666666667,4.5,4,4,3.666666667,4.3,1,5,Asian/Pacific Islander,1,A,3,3,4,Double Major,24
3,1,5,5,1,3,2,4,1,5,5,5,5,2,2,2,4,4,4,4,5,5,5,5,5,4,4,5,3,2,5,4,1,4,4,2,5,4,4,3,3,3,2,3,2,2,3,3,3,1.5,5,3.142857143,5,4.2,1.5,3.833333333,2.7,1,3,White,B,B,Junior,2.5,Psychology,Psychology,24
4,3,4,4,3,5,5,4,3,4,4,4,4,2,3,3,3,3,3,3,5,5,5,5,3,3,3,3,2,3,3,4,2,5,4,5,4,3,3,2,2,2,2,2,2,2,2,2,2,3.125,4,2.857142857,5,2.8,2.5,4,2.6,1,1,Black/African American,A,A,Senior,3.5,Biology/health studies,Double Major,25
5,2,5,2,2,3,1,5,2,4,4,4,4,1,1,1,3,1,3,2,5,5,5,5,5,2,5,5,5,2,4,3,1,4,5,4,4,2,4,4,1,2,3,4,4,3,4,3,1,2,4,1.714285714,5,4.4,2,3.833333333,3.9,3,4,Multiracial,D,D,senior,2.5,Health Promotion,Health Studies,23
6,4,5,2,4,3,2,3,3,4,4,4,4,3,3,3,5,3,5,4,5,5,5,5,4,3,4,4,4,2,4,4,2,2,2,2,1,3,3,2,4,4,3,2,1,3,3,3,3,3,4,3.714285714,5,3.8,2,2.166666667,2.4,2,4,Multiracial,B,B,Sophomore,2.5,Kinesiology,Kinesiology,23
7,4,2,3,3,2,2,2,2,5,3,1,4,2,2,2,3,4,2,2,5,5,5,5,5,4,4,4,3,4,4,2,3,3,4,4,3,3,3,4,3,5,2,4,4,2,3,2,3,3,3.25,2.428571429,5,4,3.25,3.333333333,2.8,1,2,Hispanic/Other Latinx,3,C,4,2.5,4,Double Major,21
8,3,2,2,3,2,3,5,1,4,4,4,4,3,4,3,3,5,3,3,5,5,5,5,2,2,2,3,5,4,2,2,4,4,4,3,2,3,3,2,4,4,3,3,3,3,3,2,3,2.625,4,3.428571429,5,2.8,4,3.166666667,2.6,1,1,Black/African American,B,B,Junior,2.5,Psychology,Psychology,22
9,1,5,5,1,2,1,5,1,5,4,3,2,1,5,5,3,1,3,5,5,5,2,3,5,4,5,4,5,2,4,4,1,4,3,3,3,2,1,3,2,1,3,3,1,4,3,2,2,1.125,3.5,3.285714286,3.75,4.6,1.75,2.666666667,3.2,1,3,White,2,B,4,2.5,1,Psychology,21
10,5,1,2,5,5,2,1,5,1,2,2,3,2,2,3,4,3,3,4,4,4,4,3,2,2,2,4,2,4,2,2,2,4,5,3,1,5,5,4,1,1,4,3,5,4,2,4,3,4.5,2,3,3.75,2.4,3.5,3.833333333,3.9,2,3,White,A,A,Senior,3.5,Psychology,Psychology,22
11,1,5,2,3,4,1,1,3,5,4,3,3,1,3,1,2,3,3,3,5,5,4,1,4,3,3,3,2,3,3,3,1,3,3,3,1,3,3,2,2,3,2,3,2,2,3,2,2,2.75,3.75,2.285714286,3.75,3,2.5,2.666666667,2.7,1,3,White,B,B,Senior,3,Health Sciences,Health Studies,22
12,1,5,5,1,3,1,2,2,5,5,5,5,3,3,3,4,5,3,5,5,5,5,5,4,3,5,4,3,2,5,5,1,3,2,2,2,1,3,4,1,2,3,4,4,4,4,3,2,1.75,5,3.714285714,5,3.8,1.25,2.166666667,3.9,1,3,White,A,A,senior,2.5,Pre-Med/Health Sciences,Double Major,22
13,4,2,4,4,2,3,3,1,3,2,2,2,1,3,3,4,4,2,4,5,5,5,5,4,4,4,3,3,4,2,2,4,1,3,4,2,4,4,3,3,3,2,2,3,3,2,3,4,2.875,2.25,3,5,3.6,4,3,2.6,1,3,White,1,A,3,3,1,Psychology,20
14,5,3,3,3,4,1,3,3,3,3,3,4,2,3,2,3,3,3,3,2,3,2,4,3,3,3,3,3,3,3,1,1,5,5,5,5,5,5,2,1,1,3,3,3,1,1,4,4,3.125,3.25,2.714285714,2.75,3,3,5,2.9,1,5,Asian/Pacific Islander,2,B,4,2.5,2,Health Studies,22
15,3,4,3,3,3,4,1,3,2,3,1,1,2,4,4,3,3,4,4,5,5,5,5,1,1,1,1,1,2,1,1,3,4,3,4,3,5,4,4,2,2,4,5,4,5,4,3,1,3.25,1.75,3.428571429,5,1,3.75,3.833333333,4.2,2,3,White,1,A,4,,,,
16,2,3,2,3,3,3,5,1,3,1,2,3,1,1,1,5,5,4,4,5,5,5,4,4,3,4,3,4,3,2,2,3,1,5,5,5,4,4,3,4,3,3,3,3,2,3,3,3,2.5,2.25,3,4.75,3.6,3.5,4,2.8,2,2,Hispanic/Other Latinx,A,A,Senior,3,Health Studies,Health Studies,21
17,3,5,4,2,4,1,4,3,3,5,5,5,3,3,3,5,5,3,5,5,5,5,5,4,3,1,1,1,1,5,5,1,5,5,5,4,4,2,1,4,3,2,2,1,3,4,4,2,2.25,4.5,3.857142857,5,2,1,4.166666667,2.6,1,3,White,B,B,Senior,3,Health Studies,Health Studies,21
18,4,2,3,4,4,1,4,2,3,3,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,3,4,5,4,4,3,3,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2.5,2,4,3.6,3,4.333333333,3,1,3,White,B,B,Senior,3,Health Science,Health Studies,22
19,1,4,4,2,4,3,3,3,3,2,4,3,3,2,2,2,3,3,2,4,3,2,NA,3,3,2,3,3,3,2,4,2,4,4,3,3,2,3,5,3,3,4,5,5,5,5,5,5,2.5,3,2.428571429,3,2.8,2.75,3.166666667,4.1,1,3,White,1,A,3,3,1,Psychology,20
20,4,2,2,4,5,1,1,4,2,2,2,2,3,2,2,1,5,1,2,5,5,NA,5,2,1,1,1,1,4,2,2,2,4,4,4,4,5,5,5,1,2,5,5,5,5,5,5,1,3.875,2,2.285714286,5,1.2,3.5,4.333333333,4.9,2,3,White,1,A,3,3.5,4,Double Major,21
21,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2.75,3,3,3,3,2.75,3.166666667,3.4,1,4,Multiracial,3,C,4,2.5,7,HDF,22
22,1,5,5,1,2,1,2,2,3,3,3,3,2,2,2,4,4,3,3,5,5,5,5,3,4,2,2,2,2,4,1,1,5,5,5,1,1,3,5,5,5,5,5,3,5,5,5,1,1.625,3,2.857142857,5,2.6,2.5,3.333333333,4,1,3,White,2,B,3,3,1,Psychology,20
23,4,2,3,4,3,2,5,1,3,3,4,3,1,1,1,1,1,1,1,4,4,4,4,2,2,1,2,4,4,1,2,3,3,4,4,5,4,3,5,1,1,5,5,5,5,5,5,5,2.75,3.25,1,4,2.2,4,3.833333333,4.6,1,5,Asian/Pacific Islander,A,A,Senior,3,Health Studies,Health Studies,21
24,4,2,2,3,3,1,4,2,3,3,3,3,1,2,1,1,5,4,5,4,4,4,4,4,4,1,4,4,4,2,2,4,1,4,4,4,4,4,2,4,4,2,5,5,3,3,2,4,2.875,3,2.714285714,4,3.4,4,3.5,2.8,1,3,White,A,A,Senior,2.5,Psychology,Psychology,21
25,5,1,3,5,3,1,1,3,1,1,1,1,1,3,5,3,5,3,5,3,3,3,3,1,1,1,1,5,3,1,1,4,1,5,5,5,5,5,3,1,3,3,3,3,3,3,3,3,3.75,1,3.571428571,3,1.8,4.25,4.333333333,3.2,1,4,Multiracial,A,A,Senior,3,communicative disorders,Health Studies,22
26,5,1,1,5,5,1,4,1,1,1,1,1,1,3,3,5,5,5,5,5,5,5,5,1,1,1,1,1,5,1,1,5,4,5,5,5,5,5,4,1,1,4,5,2,2,5,3,1,3.625,1,3.857142857,5,1,5,4.833333333,4,1,3,White,1,A,3,4,2,Health Studies,21
27,1,5,5,1,1,1,4,1,5,5,5,4,3,3,3,5,5,5,5,5,5,5,5,2,1,2,3,2,1,4,1,2,1,1,3,3,2,2,1,4,4,1,1,1,1,1,1,1,1.125,4.75,4.142857143,5,2,2.5,2,1.6,1,3,White,A,A,Junior,2.5,health studies,Health Studies,21
28,3,4,5,2,3,1,4,2,4,2,3,2,4,4,4,4,3,3,3,4,5,3,1,3,2,4,4,4,3,3,2,3,3,3,4,1,3,3,3,3,3,3,4,1,4,4,3,4,2,2.75,3.571428571,3.25,3.4,3.25,2.833333333,3,1,3,White,2,B,3,2.7,2,Health Studies,20
29,1,5,5,1,3,1,1,3,5,4,4,4,1,3,3,3,3,4,3,4,4,4,5,4,4,1,4,4,4,4,4,1,3,3,3,5,2,3,1,5,2,2,1,1,3,1,1,1,2,4.25,2.857142857,4.25,3.4,2.25,3.166666667,2,1,3,White,2,B,3,3,1,Psychology,21
30,2,5,4,2,3,2,5,1,5,5,5,5,1,1,1,4,4,2,2,5,5,5,5,4,3,5,5,5,2,5,4,1,3,4,4,5,3,3,4,1,1,3,4,3,1,4,4,2,1.75,5,2.142857143,5,4.4,1.5,3.666666667,3.7,1,3,White,1,A,3,3,1,Psychology,21
31,5,1,1,4,3,2,4,2,2,2,2,2,1,1,1,4,3,3,3,5,4,3,3,1,1,2,3,3,4,1,1,4,5,4,4,4,4,4,3,2,2,4,4,3,3,4,3,2,3.5,2,2.285714286,3.75,2,4.5,4.166666667,3.6,1,3,White,3,C,4,3,8,Accounting,
32,4,2,3,4,4,1,4,3,2,3,2,3,4,4,4,4,3,4,4,4,4,3,3,3,4,3,4,4,3,2,2,3,4,4,4,3,4,4,4,2,2,4,5,4,5,3,4,4,3.125,2.5,3.857142857,3.5,3.6,3.5,3.833333333,3.9,1,3,White,1,A,3,2.5,3,Kinesiology,20
33,2,2,3,3,2,3,2,3,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,3,3,3,3,3,NA,3,3,3,3,3,3,3.5,3,3,3,3,3.5,3,1,1,Black/African American,B,B,Senior,2,psych,Psychology,21
34,2,4,3,2,2,1,4,2,3,3,4,2,1,2,2,5,3,2,2,5,5,4,4,3,4,2,2,3,2,3,3,2,2,2,3,3,3,3,4,2,2,4,4,4,4,4,4,2,2,3,2.428571429,4.5,2.8,2.5,2.666666667,4,2,3,White,A,A,Senior,3,Health Studies,Health Studies,21
35,3,2,3,3,4,1,3,3,2,2,2,2,1,3,3,4,4,2,2,5,5,5,5,4,2,1,5,1,3,2,1,3,3,3,5,3,3,3,3,1,3,2,3,3,3,2,3,2,3,2,2.714285714,5,2.6,3.75,3.333333333,3.1,2,3,White,2,B,3,2.5,1,Psychology,20
36,3,4,3,3,3,3,5,1,5,5,4,5,3,3,3,4,4,4,4,5,5,4,4,5,5,5,5,4,2,5,4,3,3,4,4,2,3,3,4,2,2,4,5,5,4,4,3,2,2.375,4.75,3.571428571,4.5,4.8,2,3.166666667,4.1,1,4,Multiracial,B,B,Junior,4,Human Development and Family Studies and Psychology,Double Major,21
37,3,4,4,3,3,1,5,2,4,5,3,4,1,2,2,4,4,3,3,4,5,4,2,3,4,3,4,2,2,4,4,2,2,4,4,4,3,2,4,1,2,4,5,5,4,5,4,2,2.125,4,2.714285714,3.75,3.2,2,3.166666667,4.4,1,3,White,2,B,3,3,4,Double Major,20
38,2,4,5,1,3,2,2,1,3,3,3,2,1,2,2,4,5,3,4,5,5,1,1,1,1,1,1,1,2,2,2,1,3,5,5,5,4,4,5,1,1,5,5,5,5,5,5,5,2,2.75,3,3,1,2.75,4.333333333,4.6,1,3,White,A,A,Junior,4,Sociology and Psychology,Double Major,20
39,4,1,2,4,3,1,4,2,3,2,2,3,2,3,3,2,5,2,4,4,4,4,4,2,2,2,3,3,3,2,2,4,3,4,5,5,3,3,3,3,3,2,2,2,2,3,2,2,3.125,2.5,3,4,2.4,3.75,3.833333333,2.6,1,3,White,A;B,A;B,Junior,3,Psychology,Psychology,21
40,1,5,5,3,1,1,1,1,4,5,5,3,1,1,1,4,4,1,1,5,3,5,5,5,3,5,5,5,3,5,3,1,1,4,4,1,1,1,2,4,4,4,4,5,1,2,4,4,1.75,4.25,1.857142857,4.5,4.6,2,2,2.8,1,1,Black/African American,3,C,2,2,4,Double Major,19
41,4,2,2,3,5,1,4,2,2,2,2,2,1,1,1,1,1,1,1,5,5,4,3,1,1,3,2,4,2,3,3,3,1,2,4,1,4,4,1,1,2,1,1,1,1,1,1,1,3.125,2,1,4.25,2.2,2.75,2.666666667,2.1,1,2,Hispanic/Other Latinx,A,A,Junior,3,Health Studies,Health Studies,20
42,3,4,4,3,3,2,3,1,3,4,4,4,3,2,3,4,3,3,3,5,5,4,4,2,3,3,2,2,3,4,4,2,1,3,3,4,3,3,5,1,1,5,5,3,4,4,5,1,2.375,3.75,3,4.5,2.4,2.25,2.833333333,4.6,2,3,White,1,A,2,4,5,Political Science,19
43,5,5,1,5,3,1,3,3,1,1,1,1,3,3,3,3,3,3,3,5,5,5,5,1,1,1,1,1,5,1,1,5,5,5,5,5,5,5,3,2,2,3,3,4,3,3,3,2,3.25,1,3,5,1,5,5,3.4,1,5,Asian/Pacific Islander,B,B,Junior,3.5,Health studies,Health Studies,20
44,4,1,1,4,5,2,1,3,2,2,2,2,4,4,4,4,3,4,4,5,5,5,5,2,1,3,2,2,3,2,2,4,3,4,4,5,4,4,5,1,1,5,5,4,5,5,4,1,4.125,2,3.857142857,5,2,3.75,4,4.8,1,5,Asian/Pacific Islander,1,A,2,3,1,Psychology,20
45,4,2,2,3,3,2,3,1,4,3,2,2,2,2,2,4,4,3,4,5,5,5,5,2,2,2,2,2,4,2,3,3,2,4,4,5,4,4,4,1,1,4,5,5,4,4,5,1,3,2.75,3,5,2,3.5,3.833333333,4.6,1,3,White,1,A,2,3.6,4,Double Major,20
46,1,5,5,1,1,1,5,1,5,5,5,5,1,1,1,3,3,1,1,4,4,2,2,4,4,2,4,3,2,5,5,1,1,1,1,1,1,1,4,4,2,4,4,4,4,4,4,2,1,5,1.571428571,3,3.4,1.25,1,3.8,1,3,White,A,A,Junior,3.5,Gender and women's studies and psychology,Double Major,20
47,3,5,5,3,5,1,1,4,4,4,4,4,2,2,2,3,3,3,3,5,5,4,4,4,3,2,5,5,2,4,3,3,3,3,4,3,4,4,5,1,1,5,1,5,4,4,4,1,2.875,4,2.571428571,4.5,3.8,2.5,3.5,4.3,1,3,White,1,A,2,3.5,1,Psychology,19
48,3,5,5,3,3,2,5,1,3,4,3,3,1,1,2,4,3,2,2,4,5,3,2,2,1,1,3,2,2,4,3,1,1,4,3,3,4,3,3,2,2,3,3,1,3,3,2,3,1.875,3.25,2.142857143,3.5,1.8,2,3,2.9,1,5,Asian/Pacific Islander,1,A,2,3,4,Double Major,20
49,1,5,4,2,2,3,5,1,3,3,3,3,3,4,3,5,5,4,4,5,5,4,3,2,5,1,2,1,1,4,4,1,1,4,4,2,2,2,5,1,1,5,5,5,2,5,5,1,1.625,3,4,4.25,2.2,1.5,2.5,4.7,1,3,White,A,A,Junior,3,Health studies,Health Studies,21
50,2,3,2,3,4,1,3,3,5,5,4,5,1,1,1,3,3,3,3,5,5,4,4,3,3,2,2,1,3,4,2,2,4,5,5,5,3,5,4,2,2,3,4,1,2,4,4,1,2.875,4.75,2.142857143,4.5,2.2,2.75,4.5,3.5,1,4,Multiracial,2,B,2,3,1,Psychology,20
51,1,5,5,1,2,3,5,1,5,5,5,5,1,3,2,4,4,2,3,5,5,5,5,4,4,3,4,1,1,5,5,1,3,4,3,3,2,2,3,3,4,3,4,5,4,4,5,4,1.375,5,2.714285714,5,3.2,1,2.833333333,3.5,1,3,White,1,A,2,3,1,Psychology,20
52,1,5,2,4,4,1,5,2,3,1,2,3,1,1,1,4,3,4,3,5,5,5,5,3,3,2,2,3,4,2,2,2,4,4,5,1,4,3,4,1,1,4,4,3,5,4,5,4,2.25,2.25,2.428571429,5,2.6,3.5,3.5,4.1,2,3,White,1,A,3,3,9,Economics,20
53,1,4,5,1,2,2,5,1,3,4,3,4,1,1,1,4,2,3,3,5,5,4,4,2,4,2,2,2,3,4,3,3,3,3,3,5,3,4,4,2,2,3,3,1,2,3,3,2,1.375,3.5,2.142857143,4.5,2.4,2.75,3.5,3.1,1,3,White,B,B,Junior,3.5,PSY and HDF,Double Major,20
54,4,2,3,4,2,1,3,2,4,4,2,4,1,1,1,4,4,4,4,4,4,4,4,5,3,5,4,5,3,3,2,4,3,5,4,3,2,2,3,2,2,3,4,4,2,3,3,4,2.875,3.5,2.714285714,4,4.4,3.5,3.166666667,3.2,1,3,White,2,B,3,2.5,1,Psychology,21
55,1,5,5,1,1,5,5,1,4,5,5,5,1,1,1,3,3,3,3,5,5,5,5,5,5,3,5,5,1,5,5,1,1,1,1,1,2,1,2,2,4,2,2,2,2,2,2,4,1.5,4.75,2.142857143,5,4.6,1,1.166666667,2.2,1,3,White,B,B,Junior,2.5,Health Studies,Health Studies,20
56,3,3,4,2,3,1,2,2,2,2,2,1,1,1,1,5,3,5,5,4,5,4,3,2,2,2,2,2,3,1,1,2,5,5,5,4,4,4,4,2,2,4,4,3,3,4,3,2,2.5,1.75,3,4,2,3.75,4.5,3.7,1,3,White,1,A,3,3,2,Health Studies,21
57,1,4,5,2,2,2,4,1,2,4,4,3,3,3,3,5,2,5,3,4,4,4,4,4,4,2,4,4,3,4,4,1,2,4,4,3,2,3,3,4,3,3,3,4,3,3,3,3,1.625,3.25,3.428571429,4,3.6,2,3,3,1,3,White,A,A,Junior,3,Psychology/Computer Science,Double Major,20
58,3,2,2,3,4,2,3,2,2,2,2,3,2,2,2,2,3,2,2,4,4,3,3,2,2,2,3,3,4,1,1,3,1,2,3,1,3,3,2,4,2,2,3,3,3,3,2,4,3.125,2.25,2.142857143,3.5,2.4,4.25,2.166666667,2.6,1,3,White,A,A,Junior,3.5,Health Studies,Health Studies,21
59,5,1,2,4,3,1,2,2,3,3,2,2,2,3,3,5,5,5,5,4,4,2,2,1,1,2,2,1,4,1,1,4,1,4,4,4,4,4,5,1,5,5,5,5,5,5,5,1,3.5,2.5,4,3,1.4,4.5,3.5,4.6,1,3,White,A,A,Junior,2.5,Health Studies,Health Studies,20
