StudentIDE,MA1E,MA2E,MA3E,MA4E,MA5E,MA6E,MA7E,MA8E,QANX1E,QANX2E,QANX3E,QANX4E,QINFL1E,QINFL2E,QINFL3E,QINFL4E,QINFL5E,QINFL6E,QINFL7E,QSF1E,QSF2E,QSF3E,QSF4E,QHIND1E,QHIND2E,QHIND3E,QHIND4E,QHIND5E,QSC1E,QSC2E,QSC3E,QSC4E,QSE1E,QSE2E,QSE3E,QSE4E,QSE5E,QSE6E,SPSS1E,SPSS2E,SPSS3E,SPSS4E,SPSS5E,SPSS6E,SPSS7E,SPSS8E,SPSS9E,SPSS10E,Mean_MA,Mean_QANX,Mean_QINFL,Mean_QSF,Mean_QHIND,Mean_QSC,Mean_QSE,Mean_SPSS,GenderE,RaceEthE,RaceEthE_tidy,GradeE,GradeE_tidy,StuStaE,GPAE,MajorE,MajorE_tidy,AgeE
60,3,2,2,4,3,1,3,3,2,2,3,2,2,4,4,2,2,2,2,4,4,3,4,2,2,2,2,3,4,2,2,4,3,4,4,5,4,4,2,4,4,2,4,2,2,2,2,4,3.125,2.25,2.571428571,3.75,2.2,4,4,2.2,1,3,White,A,A,Junior,3.5,Kinesiology,Kinesiology,21
61,3,2,2,4,4,2,3,3,5,4,4,3,2,4,4,4,5,2,5,3,4,2,2,4,4,5,5,4,3,3,4,4,2,4,4,2,4,3,4,2,2,4,3,3,3,3,3,2,3.375,4,3.714285714,2.75,4.4,3,3.166666667,3.5,1,3,White,2,B,2,3.5,1,Psychology,20
62,1,5,5,1,1,2,5,1,2,2,2,2,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,1,4,4,1,3,3,3,2,5,3,1,1,5,1,2,1,1,1,1,5,1.125,2,3.857142857,5,5,1.5,3.166666667,1.5,1,6,Native American/Alaska Native,A,A,Junior,3.5,Psychology and music performance,Double Major,20
63,1,5,3,2,4,4,5,1,4,5,4,4,1,2,2,2,1,1,2,5,4,5,5,3,4,3,4,4,2,4,4,1,4,3,3,3,2,3,4,2,2,4,4,4,5,4,4,4,2.125,4.25,1.571428571,4.75,3.6,1.75,3,3.9,1,3,White,A,A,Junior,2.5;3.0,Health Studies,Health Studies,20
64,5,1,2,4,4,2,5,2,2,2,2,3,2,5,4,4,5,3,4,4,4,4,4,3,2,4,4,4,4,2,2,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3.375,2.25,3.857142857,4,3.4,4.25,4.166666667,3,1,3,White,A,A,Junior,3,Health Studies,Health Studies,21
65,1,5,5,1,1,4,5,1,5,5,5,5,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,2,1.375,5,1.571428571,5,5,3.25,1,3.1,1,3,White,A,A,Junior,2.5,Health Studies,Health Studies,20
66,3,1,3,3,4,1,3,3,1,1,1,1,2,2,2,5,5,5,5,5,5,5,5,1,1,3,1,4,4,1,1,4,4,4,4,5,4,4,3,2,3,2,3,1,2,3,2,4,3.125,1,3.714285714,5,2,4.5,4.166666667,2.5,2,3,White,1,A,2,3.5,4,Double Major,20
67,3,1,3,4,4,1,3,4,2,2,2,2,3,3,3,2,2,3,3,4,4,4,3,1,1,1,1,2,2,2,2,3,3,3,4,4,4,3,2,3,3,3,3,2,4,2,4,4,3.375,2,2.714285714,3.75,1.2,3.25,3.5,2.8,2,4,Multiracial,2,B,2,2.5,1,Psychology,20
68,1,4,5,3,3,1,3,3,2,4,4,4,1,1,1,2,2,1,1,5,5,5,5,5,3,3,5,4,2,4,5,1,3,3,2,2,3,3,4,2,2,4,4,4,2,4,4,2,2.125,3.5,1.285714286,5,4,1.5,2.666666667,3.8,2,3,White,2,B,2,3,1,Psychology,20
69,3,4,3,3,3,3,5,3,3,3,3,3,1,1,2,1,1,1,1,4,4,5,5,NA,3,4,3,5,3,3,3,2,2,3,3,2,3,3,4,1,1,4,4,4,4,4,4,4,2.625,3,1.142857143,4.5,3.75,2.75,2.666666667,4,1,2,Hispanic/Other Latinx,B,B,Junior,2.5,psy/hdf,Double Major,20
70,1,5,2,2,3,2,2,1,5,5,5,5,3,3,3,5,4,3,3,5,5,4,3,4,4,3,4,3,3,4,3,1,4,3,3,1,2,3,3,4,4,4,4,5,3,3,3,4,2.25,5,3.428571429,4.25,3.6,2.25,2.666666667,3.1,1,4,Multiracial,1,A,3,2.5,2,Health Studies,21
71,2,4,4,1,2,3,5,2,3,3,3,3,1,3,2,4,4,1,3,2,4,3,3,2,3,2,3,2,3,2,4,2,4,4,4,3,3,2,2,4,2,1,2,1,1,3,1,1,1.875,3,2.571428571,3,2.4,2.75,3.333333333,2.2,1,3,White,A;B,A;B,Junior,3,Health Studies,Health Studies,20
72,4,3,2,4,4,1,2,4,1,2,1,1,3,3,3,2,4,2,5,5,5,4,4,3,3,2,3,3,3,2,1,3,5,4,5,5,4,5,4,2,2,3,4,4,4,5,4,3,3.5,1.25,3.142857143,4.5,2.8,3.75,4.666666667,3.9,1,3,White,1,A,3,3.6,1,Psychology,20
73,3,3,3,3,2,2,3,2,2,2,2,3,2,2,2,2,2,3,3,4,4,4,4,2,2,2,2,2,3,2,2,3,4,3,3,5,4,4,2,4,2,2,4,4,2,2,2,4,2.625,2.25,2.285714286,4,2,3.5,3.833333333,2.6,2,3,White,A,A,Junior,3.5,Kinesiology,Kinesiology,20
74,1,4,2,2,4,2,2,3,5,4,4,4,2,1,1,4,1,2,2,5,5,5,5,3,4,3,4,2,2,3,2,2,3,4,4,3,3,3,3,3,3,3,4,3,4,4,4,3,2.75,4.25,1.857142857,5,3.2,2.75,3.333333333,3.4,1,3,White,1,A,2,2.5,1,Psychology,19
75,2,4,2,2,2,3,3,3,2,2,2,2,3,3,3,3,3,3,3,5,5,5,5,5,4,3,5,5,3,3,3,3,5,3,4,4,3,3,4,2,2,4,3,4,4,4,4,4,2.625,2,3,5,4.4,3,3.666666667,3.7,1,3,White,2,B,2,2.75,1,Psychology,19
76,1,5,5,1,3,2,2,3,4,5,5,5,1,2,2,5,5,4,4,5,5,5,5,5,5,5,5,5,3,4,4,1,2,4,4,4,3,3,5,1,1,5,5,5,5,5,5,1,2,4.75,3.285714286,5,5,2,3.333333333,5,1,3,White,2,B,3,3,2,Health Studies,21
77,2,3,2,3,3,3,3,3,3,3,3,3,2,2,3,3,3,4,4,5,5,4,4,3,2,3,2,2,2,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4.5,2.4,2.5,2.833333333,3,1,1,Black/African American,A,A,Junior,2.5,Psychology,Psychology,21
78,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3.4,1,2,Hispanic/Other Latinx,A,A,Junior,3,psychology and sociology,Double Major,20
79,3,1,2,3,3,3,5,1,5,4,5,3,1,1,1,4,1,3,3,5,5,5,5,5,4,5,5,5,2,4,3,1,3,3,3,NA,NA,1,4,2,2,2,2,5,5,5,3,2,2.875,4.25,2,5,4.8,2,2.5,3.8,1,3,White,2,B,3,3,1,Psychology,21
80,1,5,1,1,1,3,5,1,5,5,5,5,1,1,1,5,5,3,3,5,5,5,5,4,4,4,3,1,1,3,1,1,5,5,5,2,1,1,3,1,3,2,2,5,4,2,1,3,1.75,5,2.714285714,5,3.2,2.5,3.166666667,3,2,2,Hispanic/Other Latinx,A,A,Junior,2,Health Studies,Health Studies,20
81,4,2,4,4,3,2,3,3,4,3,3,3,2,2,2,4,4,3,3,4,4,4,4,3,4,4,4,3,3,4,4,2,2,4,4,4,3,3,4,2,2,4,4,5,3,4,4,2,3.125,3.25,2.857142857,4,3.6,2.25,3.333333333,4,1,5,Asian/Pacific Islander,A,A,Junior,2.5,Health Studies,Health Studies,21
82,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,3.5,5,5,5,5,3,5,5,1,2,Hispanic/Other Latinx,1,A,3,3,1,Psychology,21
83,4,3,3,5,4,1,2,3,4,2,2,2,3,3,3,5,5,4,4,5,5,5,5,1,3,3,3,4,3,2,2,2,2,4,3,3,3,4,4,1,1,4,5,5,4,5,5,1,3.375,2.5,3.857142857,5,2.8,3.25,3.166666667,4.7,,3,White,1,A,3,3.5,4,Double Major,20
84,1,5,5,1,2,2,4,1,3,3,4,3,4,3,3,5,5,3,3,5,5,5,3,4,3,1,5,3,2,4,3,1,3,3,3,5,2,3,1,1,3,1,1,3,3,2,2,3,1.375,3.25,3.714285714,4.5,3.2,2,3.166666667,2.4,1,3,White,A,A,Junior,3,health studies,Health Studies,21
85,3,3,3,3,4,1,4,1,4,3,3,2,4,4,3,3,5,3,5,5,5,5,5,2,2,1,1,1,3,3,3,3,3,4,4,3,3,4,3,4,3,4,4,5,5,5,5,5,2.5,3,3.857142857,5,1.4,3,3.5,3.7,1,4,Multiracial,1,A,2,3,1,Psychology,20
86,3,2,3,3,3,2,3,3,3,2,3,3,3,3,2,3,3,2,2,4,4,4,4,4,3,3,2,2,3,3,3,3,3,2,3,3,2,3,4,3,3,3,3,3,2,2,2,3,3,2.75,2.571428571,4,2.8,3,2.666666667,2.8,1,3,White,1,A,3,3,4,Double Major,20
87,1,5,5,1,3,1,4,2,4,3,4,3,2,2,2,4,3,2,2,4,5,3,2,3,2,2,4,3,2,4,3,1,3,4,4,1,3,4,3,2,4,3,5,2,4,4,3,4,1.5,3.5,2.428571429,3.5,2.8,2,3.166666667,3.2,1,3,White,2,B,2,4,4,Double Major,20
88,3,2,3,4,3,3,3,3,4,4,3,4,1,1,1,5,2,4,4,5,5,5,5,4,5,4,4,4,4,2,2,4,3,4,4,2,4,3,3,3,2,3,4,5,2,3,4,2,3.25,3.75,2.571428571,5,4.2,4,3.333333333,3.5,2,1,Black/African American,2,B,2,2.5,4,Double Major,20
89,3,3,4,3,3,3,5,1,1,3,2,2,1,1,1,4,4,1,1,4,4,4,4,3,2,3,3,2,2,3,2,3,NA,2,3,2,3,4,4,1,1,4,4,4,1,4,3,2,2.375,2,1.857142857,4,2.6,3,2.8,3.8,1,1,Black/African American,2,B,2,3,1,Psychology,19
90,3,4,3,2,4,2,3,2,3,3,4,2,1,1,1,2,2,3,3,5,5,5,5,4,3,4,4,5,4,3,1,3,1,3,3,2,2,2,4,4,4,4,3,2,3,3,3,4,2.625,3,1.857142857,5,4,3.75,2.166666667,2.8,1,3,White,4,D,2,2.5,1,Psychology,20
91,4,2,2,3,3,1,3,2,4,3,3,3,3,4,4,4,4,4,4,5,5,5,5,2,2,1,2,3,3,2,2,3,4,3,3,4,3,3,4,2,2,4,4,4,4,4,4,2,3,3.25,3.857142857,5,2,3.5,3.333333333,4,1,3,White,1,A,3,2.5,1,Psychology,20
92,4,1,1,4,4,3,2,3,4,3,1,3,2,1,1,3,4,3,4,3,4,2,2,1,1,1,1,3,3,1,2,3,4,2,4,4,4,3,3,3,2,2,3,4,2,3,3,2,4,2.75,2.571428571,2.75,1.4,3.75,3.5,3.1,2,3,White,2,B,3,1.95,1,Psychology,21
93,3,2,2,3,3,1,4,2,4,3,4,3,4,3,3,2,3,2,4,4,4,3,3,2,3,2,2,3,3,3,5,4,2,4,4,5,4,3,4,2,2,4,3,3,2,4,3,3,2.75,3.5,3,3.5,2.4,2.75,3.666666667,3.4,1,3,White,1,A,2,3.5,1,Psychology,19
94,5,2,2,5,5,1,4,5,1,1,1,1,1,3,3,5,5,5,5,5,5,5,3,2,1,1,1,1,4,1,1,5,5,5,5,5,5,5,4,2,2,4,4,4,5,4,4,4,3.875,1,3.857142857,4.5,1.2,4.75,5,3.9,1,3,White,1,A,3,3,1,Psychology,31
95,3,4,4,2,4,2,3,2,4,3,2,2,1,3,3,5,5,5,5,4,4,4,3,3,3,2,2,1,3,4,3,3,4,4,4,4,4,3,3,2,3,4,4,4,4,4,4,2,2.5,2.75,3.857142857,3.75,2.2,2.75,3.833333333,3.8,1,3,White,2,B,3,3.5,1,Psychology,21
96,4,2,3,4,3,2,2,2,3,3,2,2,1,1,1,4,3,4,3,5,5,3,5,3,3,2,4,3,3,2,4,4,5,4,4,5,4,4,4,2,2,4,4,2,4,4,4,2,3.25,2.5,2.428571429,4.5,3,3.25,4.333333333,3.8,1,3,White,A,A,Sophomore,3.5,psychology,Psychology,20
97,3,4,3,3,2,4,5,2,3,2,2,4,1,2,1,2,5,3,3,4,4,4,2,1,4,4,4,2,3,1,2,3,2,4,4,4,3,3,4,2,2,4,5,4,3,3,4,2,2.5,2.75,2.428571429,3.5,3,3.75,3.333333333,3.9,2,3,White,2,B,3,3,6,Computer Science,23
98,2,5,1,1,2,3,5,1,5,4,4,3,1,1,1,1,1,1,1,5,5,5,5,5,5,4,5,2,3,4,3,3,3,3,3,3,2,2,3,2,2,3,4,5,5,4,3,4,2,4,1,5,4.2,2.75,2.666666667,3.7,1,2,Hispanic/Other Latinx,B,B,Sophomore,3,"Psychology, hdf, Spanish ",Double Major,20
99,3,3,3,3,4,2,2,2,3,2,2,2,1,2,1,5,3,2,2,5,5,3,3,1,2,2,2,1,3,2,1,3,1,4,4,3,4,4,4,4,1,4,3,3,4,4,4,1,3,2.25,2.285714286,4,1.6,3.75,3.333333333,3.8,1,4,Multiracial,A,A,Sophomore,3.5,Biology and Chinese,Double Major,19
100,1,5,3,1,1,3,3,4,3,1,1,3,5,3,3,3,3,5,5,5,5,5,3,3,4,3,3,4,2,5,2,3,3,5,3,3,3,3,5,5,3,5,5,5,5,5,5,5,2.125,2,3.857142857,4.5,3.4,2.5,3.333333333,4,1,5,Asian/Pacific Islander,A,A,Senior,3,music and psychology,Double Major,23
101,4,2,2,4,1,2,4,1,2,2,1,1,1,3,1,2,4,2,5,4,4,1,1,1,1,1,1,3,4,1,1,5,4,5,4,3,4,3,4,1,2,4,5,5,5,4,4,2,2.75,1.5,2.571428571,2.5,1.4,4.75,3.833333333,4.4,1,3,White,1,A,2,3,1,Psychology,19
102,4,2,3,4,4,3,3,3,3,3,3,3,1,1,1,3,2,2,1,4,4,4,4,4,2,4,2,4,4,2,3,3,1,3,4,1,3,3,5,1,1,4,4,4,4,5,5,2,3.5,3,1.571428571,4,3.2,3.5,2.5,4.5,1,3,White,2,B,2,3,1,Psychology,19
103,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3.6,1,5,Asian/Pacific Islander,A,A,Sophomore,3.5,Kinesiology and Psychology,Double Major,20
104,4,4,4,2,4,4,4,4,4,5,3,4,4,3,3,3,3,4,3,3,4,3,3,3,3,4,3,3,3,3,3,4,4,4,4,5,4,4,NA,3,3,3,4,3,3,3,4,3,3,4,3.285714286,3.25,3.2,3.25,4.166666667,3.222222222,1,3,White,2,B,2,3,1,Psychology,19
105,5,1,1,5,5,1,1,5,1,1,1,1,3,5,5,2,5,3,4,5,5,2,2,1,1,1,1,1,5,1,1,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,4.5,1,3.857142857,3.5,1,5,5,5,1,3,White,1,A,2,4,4,Double Major,19
106,5,1,5,4,2,2,5,2,1,1,1,2,1,1,1,4,4,3,4,5,5,5,5,1,1,1,1,4,2,1,1,4,4,4,3,3,4,4,3,2,3,4,4,4,2,3,3,3,2.75,1.25,2.571428571,5,1.6,4,3.666666667,3.3,1,3,White,A,A,Sophomore,3,Psychology and Biology,Double Major,19
107,5,1,1,5,5,1,4,2,5,3,3,3,1,2,1,5,5,5,5,5,5,5,5,5,1,1,5,5,5,3,1,5,3,4,4,5,4,4,5,1,1,5,5,5,3,5,5,1,3.75,3.5,3.428571429,5,3.4,4.5,4,4.8,1,3,White,A,A,Junior,3,psychology,Psychology,20
108,3,2,4,4,2,3,4,1,3,4,2,4,1,2,2,4,3,1,4,5,5,5,3,4,4,4,4,2,2,3,4,3,3,4,4,3,4,4,4,2,2,3,5,3,2,3,3,3,2.625,3.25,2.428571429,4.5,3.6,2.5,3.666666667,3.4,1,3,White,A,A,Sophomore,2.5,psychology,Psychology,19
109,4,1,2,4,3,2,3,2,1,1,1,1,1,2,2,3,3,3,3,5,5,5,4,1,1,1,1,1,4,1,1,5,4,4,4,4,4,4,3,3,3,3,3,3,2,2,3,3,3.375,1,2.428571429,4.75,1,4.75,4,2.8,2,3,White,A,A,Junior,3,Psychology,Psychology,20
110,3,3,3,4,5,1,5,2,4,4,4,4,3,2,2,4,2,1,4,5,5,4,5,4,4,3,4,3,2,3,4,2,4,3,3,4,4,4,5,2,5,4,5,5,3,4,4,2,2.75,4,2.571428571,4.75,3.6,2.25,3.666666667,3.9,2,3,White,A,A,Sophomore,3.5,Psychology,Psychology,20
111,2,2,4,2,4,1,4,2,2,3,2,2,1,1,1,2,4,1,4,4,4,1,1,2,2,3,2,3,4,2,2,4,5,5,2,4,4,4,3,2,2,3,4,5,5,4,3,2,2.375,2.25,2,2.5,2.4,4,4,3.9,1,3,White,1,A,2,3.5,1,Psychology,19
112,3,2,3,3,4,2,3,1,3,3,3,3,2,3,3,3,3,3,3,4,4,4,4,3,3,3,3,4,4,2,3,4,2,3,3,3,3,3,4,2,2,4,4,5,4,4,4,2,2.875,3,2.857142857,4,3.2,3.75,2.833333333,4.1,1,3,White,1,A,2,3.5,1,Psychology,19
113,3,3,3,3,3,4,4,3,1,3,3,3,4,4,4,3,3,4,4,3,3,4,4,3,3,3,3,3,4,4,3,3,4,4,3,3,3,3,5,5,5,4,2,1,4,2,3,3,3,2.5,3.714285714,3.5,3,3,3.333333333,2.6,1,3,White,1,A,2,3.3,1,Psychology,19
114,5,2,3,5,5,2,3,3,3,2,2,3,2,3,4,4,4,3,4,4,4,4,4,3,3,2,3,4,3,2,2,3,3,4,3,4,4,4,4,4,2,4,4,4,2,4,4,4,3.75,2.5,3.428571429,4,3,3.5,3.666666667,3.4,1,3,White,1,A,2,3.5,4,Double Major,19
115,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,5,2,3,3,4,3,2,3,3.25,4,4,4,4,3,4,2.8,1,1,Black/African American,A;B,A;B,Sophomore,2.5,psychology,Psychology,19
116,2,4,4,2,2,2,4,2,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,2,3,3,4,1,2,3,4,4,4,3,4,2,2,4,4,3,2,4,4,2,2,4,3.571428571,4,2.8,2.25,3.333333333,3.7,1,3,White,2,B,2,3.5,1,Psychology,19
117,3,3,3,4,4,2,2,4,2,2,2,2,3,2,2,3,3,3,3,4,4,4,4,3,2,2,3,3,4,2,2,4,3,3,4,4,4,4,3,3,4,3,4,5,3,4,3,2,3.375,2,2.714285714,4,2.6,4,3.666666667,3.4,1,3,White,A,A,Sophomore,3.5,Psychology,Psychology,19
118,3,3,4,3,3,2,4,3,3,3,3,2,5,3,3,3,2,4,3,3,2,4,3,3,3,3,2,3,4,2,3,3,3,4,2,5,3,3,3,4,2,3,3,4,2,3,3,3,2.625,2.75,3.285714286,3,2.8,3.5,3.333333333,3,1,3,White,A,A,Sophomore,3.5,Elementary Ed & Psych,Double Major,19
119,4,2,2,4,3,2,3,2,2,4,3,2,1,2,2,4,4,2,3,4,4,3,2,3,4,3,4,3,4,2,3,3,2,4,4,1,3,4,4,2,2,4,3,3,2,3,4,2,3.25,2.75,2.571428571,3.25,3.4,3.5,3,3.5,1,3,White,A,A,Sophomore,4,Psychology,Psychology,20
120,3,2,4,3,4,1,4,2,3,3,4,3,3,4,3,2,2,4,4,5,4,2,1,2,3,1,2,1,3,3,4,2,3,4,5,5,4,3,3,2,2,4,4,2,3,3,3,2,2.625,3.25,3.142857143,3,1.8,2.5,4,3.4,2,3,White,A,A,Junior,3.5,Biology and psychology,Double Major,20
